,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog
David de Gea,27.0,38.0,38.0,3420.0,0.0,0.0,1.0,0.0,0.0,65.5,1.0
Paul Pogba,25.0,35.0,34.0,3006.0,13.0,9.0,6.0,96.0,6.0,81.7,274.0
Victor Lindelöf,24.0,30.0,29.0,2601.0,1.0,1.0,1.0,7.0,0.0,89.3,71.0
Luke Shaw,23.0,29.0,29.0,2591.0,1.0,4.0,11.0,20.0,0.0,83.5,238.0
Ashley Young,33.0,30.0,28.0,2569.0,2.0,2.0,9.0,12.0,2.0,72.5,259.0
Nemanja Matić,29.0,28.0,28.0,2436.0,1.0,0.0,7.0,12.0,0.0,87.9,152.0
Marcus Rashford,20.0,33.0,26.0,2334.0,10.0,6.0,3.0,83.0,12.0,73.9,75.0
Chris Smalling,28.0,24.0,24.0,2127.0,1.0,0.0,1.0,12.0,0.0,86.6,38.0
Romelu Lukaku,25.0,32.0,22.0,2136.0,12.0,0.0,4.0,59.0,0.0,65.0,49.0
Jesse Lingard,25.0,27.0,19.0,1663.0,4.0,2.0,3.0,31.0,0.0,84.8,49.0
Anthony Martial,22.0,27.0,18.0,1621.0,10.0,2.0,2.0,37.0,0.0,76.5,83.0
Ander Herrera,28.0,22.0,16.0,1403.0,2.0,3.0,4.0,21.0,0.0,87.3,84.0
Juan Mata,30.0,22.0,16.0,1289.0,3.0,2.0,3.0,19.0,3.0,80.7,84.0
Phil Jones,26.0,18.0,15.0,1263.0,0.0,1.0,1.0,5.0,0.0,92.5,31.0
Fred,25.0,17.0,13.0,1041.0,1.0,1.0,2.0,17.0,1.0,85.3,72.0
Diogo Dalot,19.0,16.0,12.0,1013.0,0.0,2.0,3.0,15.0,0.0,71.0,69.0
Alexis Sánchez,29.0,20.0,9.0,880.0,1.0,3.0,3.0,18.0,2.0,71.4,51.0
Scott McTominay,21.0,16.0,9.0,867.0,2.0,0.0,1.0,15.0,0.0,85.1,28.0
Eric Bailly,24.0,12.0,8.0,638.0,0.0,0.0,0.0,3.0,0.0,86.1,10.0
Marouane Fellaini,30.0,14.0,6.0,752.0,0.0,1.0,1.0,8.0,0.0,80.1,31.0
Andreas Pereira,22.0,15.0,6.0,599.0,1.0,1.0,5.0,8.0,1.0,82.5,38.0
Antonio Valencia,32.0,6.0,5.0,466.0,0.0,0.0,2.0,2.0,0.0,85.7,40.0
Matteo Darmian,28.0,6.0,5.0,443.0,0.0,0.0,0.0,1.0,0.0,85.4,17.0
Marcos Rojo,28.0,5.0,2.0,212.0,0.0,0.0,2.0,6.0,1.0,72.3,9.0
