,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog,Att 3rd,DribSucc,DribPl,Rec
Çağlar Söyüncü,22.0,6.0,4.0,372.0,0.0,0.0,1.0,2.0,0.0,85.1,16.0,11.0,4.0,4.0,163.0
Danny Simpson,31.0,6.0,3.0,292.0,0.0,0.0,0.0,0.0,0.0,70.1,21.0,25.0,0.0,0.0,81.0
Vicente Iborra,30.0,8.0,3.0,229.0,0.0,0.0,0.0,2.0,0.0,86.1,12.0,37.0,0.0,0.0,117.0
Christian Fuchs,32.0,3.0,2.0,207.0,0.0,0.0,0.0,2.0,0.0,76.6,30.0,72.0,1.0,1.0,107.0
Shinji Okazaki,32.0,21.0,1.0,288.0,0.0,1.0,0.0,4.0,0.0,75.8,7.0,70.0,5.0,6.0,116.0
Adrien Silva,29.0,2.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,88.6,6.0,19.0,0.0,0.0,68.0
Fousseni Diabaté,22.0,1.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,55.6,1.0,6.0,0.0,0.0,16.0
Łukasz Fabiański,33.0,38.0,38.0,3420.0,0.0,0.0,0.0,0.0,0.0,54.1,0.0,1.0,1.0,1.0,417.0
Felipe Anderson,25.0,36.0,36.0,3043.0,9.0,4.0,3.0,58.0,5.0,73.0,223.0,1039.0,84.0,89.0,1650.0
Declan Rice,19.0,34.0,34.0,3003.0,2.0,0.0,4.0,24.0,0.0,86.9,85.0,219.0,25.0,25.0,1078.0
Issa Diop,21.0,33.0,33.0,2970.0,1.0,0.0,4.0,14.0,0.0,85.3,64.0,29.0,5.0,5.0,801.0
Mark Noble,31.0,31.0,29.0,2291.0,5.0,5.0,6.0,13.0,0.0,84.3,163.0,375.0,15.0,16.0,1287.0
Robert Snodgrass,30.0,33.0,25.0,2220.0,2.0,5.0,10.0,31.0,4.0,75.7,138.0,710.0,34.0,37.0,973.0
Marko Arnautović,29.0,28.0,24.0,1990.0,10.0,4.0,3.0,62.0,3.0,75.7,46.0,541.0,28.0,29.0,691.0
Pablo Zabaleta,33.0,26.0,23.0,2092.0,0.0,1.0,4.0,7.0,0.0,75.3,145.0,409.0,10.0,10.0,714.0
Fabián Balbuena,26.0,23.0,23.0,2013.0,1.0,0.0,2.0,17.0,0.0,78.2,42.0,41.0,2.0,2.0,584.0
Michail Antonio,28.0,33.0,22.0,2103.0,6.0,4.0,3.0,65.0,0.0,66.0,76.0,594.0,57.0,63.0,849.0
Angelo Ogbonna,30.0,24.0,20.0,1874.0,1.0,1.0,2.0,13.0,0.0,83.7,34.0,34.0,2.0,2.0,563.0
Arthur Masuaku,24.0,23.0,19.0,1759.0,0.0,1.0,2.0,4.0,0.0,80.4,91.0,294.0,30.0,30.0,730.0
Aaron Cresswell,28.0,20.0,18.0,1589.0,0.0,1.0,1.0,11.0,2.0,78.7,109.0,364.0,8.0,8.0,710.0
Javier Hernández,30.0,25.0,14.0,1334.0,7.0,1.0,2.0,34.0,0.0,71.8,23.0,215.0,14.0,14.0,373.0
Pedro Obiang,26.0,24.0,12.0,1128.0,0.0,1.0,0.0,16.0,0.0,79.1,51.0,151.0,8.0,9.0,448.0
Ryan Fredericks,25.0,15.0,12.0,1086.0,1.0,0.0,5.0,5.0,0.0,72.4,48.0,168.0,8.0,8.0,359.0
Manuel Lanzini,25.0,10.0,8.0,686.0,1.0,1.0,2.0,11.0,3.0,86.6,42.0,180.0,13.0,14.0,439.0
Grady Diangana,20.0,17.0,6.0,609.0,0.0,1.0,0.0,10.0,0.0,75.5,24.0,177.0,17.0,19.0,265.0
Andriy Yarmolenko,28.0,9.0,5.0,459.0,2.0,0.0,2.0,9.0,0.0,78.5,20.0,152.0,4.0,4.0,215.0
Lucas Pérez,29.0,15.0,4.0,475.0,3.0,0.0,0.0,9.0,0.0,68.9,5.0,107.0,5.0,5.0,143.0
Jack Wilshere,26.0,8.0,4.0,392.0,0.0,1.0,2.0,2.0,0.0,91.3,11.0,58.0,8.0,8.0,185.0
Andy Carroll,29.0,12.0,3.0,461.0,0.0,0.0,2.0,14.0,0.0,65.6,4.0,73.0,3.0,4.0,143.0
Samir Nasri,31.0,5.0,3.0,245.0,0.0,2.0,0.0,3.0,0.0,87.1,13.0,83.0,2.0,2.0,145.0
Carlos Sánchez,32.0,7.0,2.0,245.0,0.0,0.0,0.0,3.0,0.0,88.6,10.0,18.0,6.0,6.0,105.0
