,index,Age,MP,Starts,CrdY,P90Gls,P90Ast,90s,Sh/90,SoT/90,TotPassCmp,KP,Prog,DribPl,Annual_Salary(GBP),Pos
218,josh sims,21.0,7.0,2.0,0.0,0.0,0.42,2.4,2.12,0.42,36.0,2.0,3.0,3.0,936000,F
219,joshua king,26.0,35.0,34.0,3.0,0.36,0.09,32.9,1.95,0.55,607.0,37.0,94.0,79.0,2340000.0,F
220,juan foyth,20.0,12.0,10.0,3.0,0.1,0.0,9.9,0.51,0.1,506.0,3.0,24.0,22.0,1118000.0,D
221,juan mata,30.0,22.0,16.0,3.0,0.21,0.14,14.3,1.33,0.42,618.0,29.0,84.0,13.0,8320000.0,F
222,julian speroni,39.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,1300000.0,G
223,junior stanislas,28.0,23.0,11.0,1.0,0.17,0.26,11.5,2.88,0.79,409.0,15.0,66.0,18.0,1820000.0,M
224,jurgen locadia,24.0,26.0,12.0,1.0,0.15,0.0,13.7,1.89,0.66,263.0,13.0,25.0,8.0,2340000.0,F
225,kasper schmeichel,31.0,38.0,38.0,3.0,0.0,0.0,38.0,0.03,0.0,825.0,1.0,3.0,2.0,6760000.0,G
226,kayne ramsey,17.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,NaN,D
227,kelechi iheanacho,21.0,30.0,9.0,2.0,0.1,0.29,10.5,1.82,0.57,217.0,14.0,22.0,11.0,3120000.0,F
228,ken sema,24.0,17.0,9.0,1.0,0.12,0.24,8.4,1.19,0.36,186.0,7.0,20.0,22.0,780000.0,F
229,kenedy,22.0,25.0,14.0,1.0,0.07,0.07,15.0,1.94,0.33,386.0,11.0,53.0,46.0,1300000,M
230,kepa arrizabalaga,23.0,36.0,36.0,2.0,0.0,0.0,36.0,0.0,0.0,974.0,0.0,1.0,1.0,7800000.0,G
231,kevin de bruyne,27.0,19.0,11.0,2.0,0.18,0.18,10.8,2.86,1.02,625.0,33.0,110.0,20.0,18200000.0,M
232,kevin long,27.0,6.0,5.0,0.0,0.0,0.18,5.7,0.18,0.0,139.0,0.0,10.0,0.0,1200000.0,D
233,ki sung-yueng,29.0,18.0,14.0,2.0,0.0,0.07,14.5,0.62,0.14,520.0,15.0,82.0,5.0,2080000.0,M
234,kieran trippier,27.0,27.0,26.0,2.0,0.04,0.12,25.3,0.32,0.12,1515.0,48.0,262.0,10.0,3380000.0,D
235,kiko femenia,27.0,29.0,22.0,1.0,0.04,0.04,22.8,0.31,0.13,950.0,15.0,131.0,17.0,1040000.0,D
236,konstantinos mavropanos,20.0,4.0,3.0,1.0,0.0,0.0,1.6,0.61,0.0,125.0,1.0,8.0,1.0,1300000.0,D
237,kurt zouma,23.0,32.0,29.0,4.0,0.07,0.07,29.0,0.59,0.14,1218.0,6.0,87.0,5.0,4000000.0,D
238,kyle walker,28.0,33.0,30.0,3.0,0.03,0.03,30.9,0.65,0.1,2337.0,24.0,189.0,25.0,5200000.0,D
239,kyle walker-peters,21.0,6.0,4.0,1.0,0.0,0.72,4.2,0.48,0.0,186.0,8.0,21.0,8.0,1040000.0,D
240,laurent koscielny,32.0,17.0,13.0,1.0,0.2,0.0,14.8,0.34,0.27,805.0,2.0,27.0,1.0,4680000.0,D
241,leander dendoncker,23.0,19.0,17.0,1.0,0.12,0.0,16.3,0.98,0.55,504.0,7.0,37.0,12.0,1972000.0,M
242,leighton baines,33.0,6.0,5.0,0.0,0.0,0.0,4.2,0.48,0.24,206.0,4.0,43.0,0.0,3640000.0,D
243,leo bonatini,24.0,7.0,0.0,0.0,0.0,0.67,1.5,6.0,0.67,41.0,2.0,5.0,0.0,1820000.0,F
244,leon balogun,30.0,8.0,5.0,2.0,0.15,0.0,6.6,0.45,0.15,174.0,0.0,4.0,3.0,950000.0,D
