,index,Age,MP,Starts,CrdY,P90Gls,P90Ast,90s,Sh/90,SoT/90,TotPassCmp,KP,Prog,DribPl,Annual_Salary(GBP),Pos
0,aaron cresswell,28.0,20.0,18.0,1.0,0.0,0.06,17.7,0.62,0.0,835.0,16.0,109.0,8.0,2600000.0,D
1,aaron lennon,31.0,16.0,14.0,1.0,0.07,0.07,13.5,0.3,0.15,235.0,7.0,19.0,8.0,1820000.0,F
2,aaron ramsey,27.0,28.0,14.0,0.0,0.27,0.41,14.8,2.23,0.81,647.0,24.0,70.0,14.0,6240000.0,M
3,aaron wan-bissaka,20.0,35.0,35.0,4.0,0.0,0.09,34.8,0.26,0.0,1156.0,14.0,164.0,78.0,780000.0,D
4,abdoulaye doucoure,25.0,35.0,34.0,7.0,0.15,0.18,34.0,1.53,0.47,1640.0,37.0,165.0,44.0,3640000.0,M
5,adam lallana,30.0,13.0,5.0,1.0,0.0,0.0,5.2,0.96,0.38,253.0,9.0,35.0,10.0,5720000.0,M
6,adam masina,24.0,14.0,11.0,5.0,0.0,0.09,11.2,0.27,0.0,436.0,2.0,67.0,6.0,1456000.0,D
7,adam smith,27.0,25.0,25.0,5.0,0.04,0.04,23.0,0.35,0.04,860.0,10.0,116.0,19.0,1820000.0,D
8,adama traore,22.0,29.0,8.0,1.0,0.1,0.1,10.0,1.9,0.7,240.0,17.0,45.0,63.0,2236000.0,F
9,ademola lookman,20.0,21.0,3.0,0.0,0.0,0.29,6.9,1.75,0.44,221.0,9.0,33.0,28.0,1196000.0,F
10,adrian mariappa,31.0,26.0,20.0,3.0,0.0,0.0,21.4,0.23,0.05,736.0,5.0,44.0,2.0,780000.0,D
11,adrien silva,29.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,70.0,0.0,6.0,0.0,4160000.0,M
12,ainsley maitland-niles,20.0,16.0,11.0,2.0,0.09,0.09,11.0,0.55,0.27,454.0,6.0,73.0,19.0,1820000.0,D
13,alberto moreno,26.0,2.0,2.0,0.0,0.0,0.0,1.7,0.58,0.0,110.0,3.0,15.0,4.0,3380000.0,D
14,alex iwobi,22.0,35.0,22.0,0.0,0.14,0.27,21.9,1.6,0.64,774.0,39.0,130.0,58.0,2600000.0,F
15,alex mccarthy,28.0,25.0,25.0,1.0,0.0,0.0,25.0,0.0,0.0,318.0,0.0,0.0,1.0,2600000.0,G
16,alex oxlade-chamberlain,24.0,2.0,0.0,0.0,0.0,0.0,0.2,4.29,4.29,12.0,1.0,6.0,1.0,6240000.0,M
17,alexander sorloth,22.0,12.0,0.0,0.0,0.0,0.0,2.1,1.95,0.97,41.0,3.0,5.0,1.0,1040000.0,F
18,alexandre lacazette,27.0,35.0,27.0,2.0,0.47,0.29,27.8,2.91,1.01,579.0,29.0,79.0,53.0,9467273.0,F
19,alexis sanchez,29.0,20.0,9.0,3.0,0.1,0.31,9.8,1.84,0.92,292.0,20.0,51.0,21.0,18200000.0,F
20,alireza jahanbakhsh,24.0,19.0,12.0,2.0,0.0,0.0,11.3,1.94,0.62,210.0,4.0,32.0,22.0,2600000.0,F
21,alisson,25.0,38.0,38.0,1.0,0.0,0.0,38.0,0.0,0.0,1039.0,0.0,0.0,1.0,4680000,G
22,alvaro morata,25.0,16.0,11.0,3.0,0.48,0.0,10.5,3.35,1.53,171.0,6.0,5.0,7.0,NaN,F
23,ander herrera,28.0,22.0,16.0,4.0,0.13,0.19,15.6,1.35,0.58,864.0,12.0,84.0,16.0,5980000.0,M
24,andre gomes,25.0,27.0,24.0,7.0,0.05,0.05,22.0,1.0,0.23,1025.0,7.0,117.0,37.0,5800000.0,M
25,andre gray,27.0,29.0,13.0,2.0,0.46,0.13,15.2,2.44,0.99,171.0,13.0,12.0,13.0,3640000.0,F
26,andreas christensen,22.0,8.0,6.0,1.0,0.0,0.0,6.9,0.0,0.0,416.0,0.0,32.0,0.0,4160000.0,D
27,andreas pereira,22.0,15.0,6.0,5.0,0.15,0.15,6.7,1.2,0.3,297.0,9.0,38.0,10.0,1560000.0,M
28,andrew robertson,24.0,36.0,36.0,4.0,0.0,0.31,35.7,0.39,0.14,2283.0,52.0,321.0,32.0,2600000.0,D
29,andrew surman,31.0,18.0,16.0,2.0,0.0,0.0,16.0,0.56,0.06,725.0,9.0,85.0,4.0,1820000.0,M
30,andriy yarmolenko,28.0,9.0,5.0,2.0,0.39,0.0,5.1,1.76,0.59,168.0,5.0,20.0,4.0,5980000.0,F
31,andros townsend,27.0,38.0,34.0,1.0,0.18,0.12,33.4,1.85,0.51,895.0,64.0,134.0,79.0,2860000.0,F
32,andy carroll,29.0,12.0,3.0,2.0,0.0,0.0,5.1,2.73,1.17,86.0,3.0,4.0,4.0,4680000.0,F
33,angel gomes,17.0,2.0,0.0,0.0,0.0,0.0,0.3,6.67,3.33,20.0,0.0,1.0,0.0,NaN,M
34,angelo ogbonna,30.0,24.0,20.0,2.0,0.05,0.05,20.8,0.62,0.24,659.0,4.0,34.0,2.0,3640000.0,D
35,angus gunn,22.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,119.0,0.0,0.0,0.0,2080000.0,G
36,anthony knockaert,26.0,30.0,18.0,4.0,0.1,0.29,20.4,1.42,0.44,523.0,40.0,85.0,33.0,1820000.0,F
37,anthony martial,22.0,27.0,18.0,2.0,0.56,0.11,18.0,2.05,1.22,575.0,33.0,83.0,34.0,5720000.0,F
38,antonio barreca,23.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,1.0,0.0,NaN,D
39,antonio rudiger,25.0,33.0,33.0,7.0,0.03,0.0,31.9,0.88,0.22,2310.0,5.0,149.0,5.0,6000000.0,D
40,antonio valencia,32.0,6.0,5.0,2.0,0.0,0.0,5.2,0.39,0.0,275.0,7.0,40.0,3.0,4420000.0,D
41,arthur masuaku,24.0,23.0,19.0,2.0,0.0,0.05,19.5,0.2,0.05,878.0,15.0,91.0,30.0,2080000.0,D
42,artur boruc,38.0,12.0,12.0,2.0,0.0,0.0,12.0,0.0,0.0,225.0,0.0,0.0,0.0,2080000.0,G
43,ashley barnes,28.0,37.0,26.0,8.0,0.45,0.08,26.5,2.3,1.02,346.0,20.0,45.0,12.0,2080000.0,F
44,ashley westwood,28.0,34.0,31.0,5.0,0.06,0.22,31.4,0.7,0.22,1111.0,43.0,200.0,11.0,1612000.0,M
45,ashley young,33.0,30.0,28.0,9.0,0.07,0.07,28.5,0.42,0.11,1380.0,42.0,259.0,23.0,6240000.0,D
46,asmir begovic,31.0,24.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,431.0,0.0,1.0,0.0,3640000.0,G
47,aymeric laporte,24.0,35.0,34.0,3.0,0.09,0.09,34.0,0.79,0.21,2793.0,14.0,251.0,3.0,3380000.0,D
48,ayoze perez,25.0,37.0,34.0,2.0,0.37,0.06,32.4,1.64,0.8,609.0,38.0,68.0,67.0,2340000.0,F
49,bakary sako,30.0,4.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,9.0,0.0,0.0,0.0,NaN,F
50,ben chilwell,21.0,36.0,36.0,4.0,0.0,0.11,36.0,0.56,0.28,1575.0,40.0,211.0,44.0,3380000.0,D
51,ben davies,25.0,27.0,20.0,2.0,0.0,0.0,20.5,0.73,0.05,1071.0,17.0,145.0,5.0,3120000.0,D
52,ben foster,35.0,38.0,38.0,1.0,0.0,0.0,38.0,0.03,0.0,600.0,7.0,2.0,0.0,1560000.0,G
53,ben gibson,25.0,1.0,1.0,1.0,1.45,0.0,0.7,1.45,1.45,21.0,0.0,2.0,1.0,2080000.0,D
54,ben johnson,18.0,1.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,19.0,0.0,0.0,1.0,NaN,D
55,ben mee,28.0,38.0,38.0,9.0,0.0,0.05,38.0,0.61,0.16,1119.0,9.0,99.0,9.0,2860000.0,D
56,ben wilmot,18.0,2.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,8.0,0.0,1.0,0.0,260000.0,M
57,benjamin mendy,24.0,10.0,10.0,1.0,0.0,0.5,10.0,0.7,0.2,668.0,12.0,113.0,15.0,4680000.0,D
58,beram kayal,30.0,18.0,9.0,4.0,0.1,0.1,10.4,0.38,0.1,203.0,5.0,29.0,8.0,1300000.0,M
59,bernard,25.0,34.0,25.0,5.0,0.04,0.13,23.5,1.02,0.21,633.0,40.0,91.0,48.0,6240000,F
60,bernardo,23.0,22.0,19.0,4.0,0.0,0.05,19.5,0.41,0.15,735.0,9.0,131.0,16.0,1300000,D
61,bernardo silva,23.0,36.0,31.0,3.0,0.22,0.22,31.7,2.02,0.69,1513.0,70.0,168.0,55.0,6240000.0,M
62,bernd leno,26.0,32.0,31.0,0.0,0.0,0.0,31.5,0.0,0.0,779.0,0.0,2.0,0.0,5200000.0,G
63,bruno,37.0,14.0,14.0,2.0,0.0,0.08,12.6,0.16,0.0,506.0,6.0,75.0,8.0,NaN,D
64,bukayo saka,16.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,NaN,F
65,caglar soyuncu,22.0,6.0,4.0,1.0,0.0,0.0,4.1,0.48,0.24,183.0,0.0,16.0,4.0,2340000.0,D
66,callum hudson-odoi,17.0,10.0,4.0,0.0,0.0,0.23,4.4,1.37,0.69,192.0,8.0,16.0,11.0,NaN,F
67,callum slattery,19.0,3.0,1.0,0.0,0.0,0.0,1.2,1.61,0.0,21.0,0.0,3.0,1.0,NaN,M
68,callum wilson,26.0,30.0,29.0,3.0,0.5,0.32,28.1,2.24,0.96,319.0,28.0,45.0,27.0,2080000.0,F
69,carl jenkinson,26.0,3.0,2.0,0.0,0.0,0.0,1.8,0.0,0.0,72.0,0.0,4.0,0.0,2340000.0,D
70,carlos sanchez,32.0,7.0,2.0,0.0,0.0,0.0,2.7,1.1,0.0,124.0,2.0,10.0,6.0,2600000.0,M
71,cedric soares,26.0,18.0,16.0,4.0,0.06,0.12,16.6,0.6,0.18,577.0,13.0,91.0,9.0,3380000.0,D
72,cenk tosun,27.0,25.0,10.0,3.0,0.25,0.25,11.8,2.89,1.27,190.0,11.0,18.0,9.0,3120000.0,F
73,cesar azpilicueta,28.0,38.0,38.0,4.0,0.03,0.13,37.8,0.45,0.19,2471.0,25.0,231.0,17.0,4680000.0,D
74,cesc fabregas,31.0,6.0,1.0,1.0,0.0,0.0,2.0,0.5,0.0,165.0,3.0,19.0,0.0,8112000.0,M
75,charlie austin,29.0,25.0,11.0,1.0,0.18,0.18,10.9,3.02,0.73,127.0,9.0,9.0,8.0,3640000.0,F
76,charlie daniels,31.0,21.0,17.0,4.0,0.06,0.0,17.6,0.74,0.17,785.0,11.0,112.0,16.0,1820000.0,D
77,charlie taylor,24.0,38.0,35.0,2.0,0.0,0.03,36.0,0.17,0.0,1224.0,12.0,163.0,43.0,1300000.0,D
78,cheikhou kouyate,28.0,31.0,21.0,3.0,0.0,0.09,21.1,1.0,0.38,639.0,15.0,70.0,20.0,3380000.0,M
79,chris mepham,20.0,13.0,10.0,1.0,0.0,0.11,9.4,0.21,0.0,324.0,0.0,22.0,5.0,607000.0,D
80,chris smalling,28.0,24.0,24.0,1.0,0.04,0.0,23.6,0.51,0.17,800.0,3.0,38.0,1.0,4160000.0,D
81,chris wood,26.0,38.0,29.0,2.0,0.35,0.07,28.8,2.02,0.8,406.0,15.0,26.0,15.0,2600000.0,F
82,christian atsu,26.0,28.0,15.0,2.0,0.06,0.0,16.6,1.69,0.84,335.0,14.0,31.0,33.0,1560000.0,M
83,christian benteke,27.0,16.0,9.0,1.0,0.11,0.11,9.0,3.21,0.88,139.0,8.0,13.0,5.0,6240000.0,F
84,christian eriksen,26.0,35.0,30.0,3.0,0.26,0.39,30.8,2.73,1.01,1540.0,75.0,228.0,23.0,3900000.0,M
85,christian fuchs,32.0,3.0,2.0,0.0,0.0,0.0,2.3,0.87,0.0,121.0,6.0,30.0,1.0,2600000.0,D
86,christian kabasele,27.0,21.0,19.0,4.0,0.0,0.0,17.6,0.45,0.11,429.0,1.0,33.0,0.0,1560000.0,D
87,ciaran clark,28.0,11.0,9.0,1.0,0.31,0.0,9.5,0.73,0.31,225.0,3.0,19.0,0.0,1820000.0,D
88,connor wickham,25.0,6.0,0.0,0.0,0.0,1.34,0.7,6.72,1.34,6.0,1.0,1.0,0.0,3120000.0,F
89,conor coady,25.0,38.0,38.0,5.0,0.0,0.0,38.0,0.0,0.0,1412.0,0.0,61.0,2.0,780000.0,D
90,craig cathcart,29.0,36.0,35.0,2.0,0.09,0.0,34.4,0.47,0.17,1046.0,1.0,64.0,3.0,1200000.0,D
91,dale stephens,29.0,30.0,29.0,6.0,0.04,0.04,27.6,0.36,0.07,1145.0,21.0,126.0,11.0,1560000.0,M
92,dan gosling,28.0,25.0,19.0,8.0,0.1,0.05,19.3,1.09,0.36,755.0,7.0,100.0,8.0,1820000.0,M
93,daniel amartey,23.0,9.0,7.0,2.0,0.0,0.0,7.1,0.56,0.14,354.0,3.0,42.0,2.0,1092000.0,D
94,daniel sturridge,28.0,18.0,4.0,1.0,0.35,0.18,5.7,3.18,1.06,148.0,8.0,31.0,5.0,6760000.0,F
95,danilo,27.0,11.0,9.0,1.0,0.11,0.0,9.0,1.56,0.33,767.0,5.0,66.0,6.0,4160000,D
96,danny ings,26.0,24.0,23.0,1.0,0.38,0.16,18.3,2.83,1.04,287.0,25.0,42.0,37.0,3900000.0,F
97,danny rose,28.0,26.0,20.0,5.0,0.0,0.15,20.0,0.75,0.1,869.0,26.0,130.0,39.0,3120000.0,D
98,danny simpson,31.0,6.0,3.0,0.0,0.0,0.0,3.2,0.0,0.0,108.0,1.0,21.0,0.0,2340000.0,D
99,danny welbeck,27.0,8.0,1.0,0.0,0.59,0.59,1.7,2.35,1.18,41.0,7.0,11.0,3.0,6500000.0,F
100,daryl janmaat,29.0,18.0,17.0,3.0,0.0,0.12,16.9,0.65,0.06,563.0,10.0,105.0,13.0,2340000.0,D
101,david brooks,21.0,30.0,29.0,3.0,0.28,0.2,25.1,1.63,0.84,649.0,29.0,110.0,49.0,1040000.0,M
102,david button,29.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,48.0,0.0,0.0,0.0,833333.0,G
103,david de gea,27.0,38.0,38.0,1.0,0.0,0.0,38.0,0.0,0.0,712.0,1.0,1.0,0.0,10400000.0,G
104,david luiz,31.0,36.0,36.0,3.0,0.08,0.06,36.0,0.92,0.22,2293.0,16.0,232.0,8.0,6240000.0,D
105,david silva,32.0,33.0,28.0,2.0,0.22,0.3,26.7,1.87,0.67,1783.0,73.0,204.0,31.0,11440000.0,M
106,davide zappacosta,26.0,4.0,1.0,0.0,0.0,0.0,1.4,1.41,0.7,77.0,1.0,7.0,4.0,3640000.0,D
107,davinson sanchez,22.0,23.0,22.0,2.0,0.05,0.05,21.6,0.56,0.14,1289.0,1.0,52.0,0.0,3380000.0,D
108,davy propper,26.0,30.0,30.0,2.0,0.04,0.04,28.3,0.53,0.07,980.0,19.0,130.0,40.0,2340000.0,M
109,deandre yedlin,25.0,29.0,28.0,6.0,0.04,0.07,27.5,0.4,0.07,784.0,29.0,156.0,10.0,1560000.0,D
110,declan rice,19.0,34.0,34.0,4.0,0.06,0.0,33.4,0.72,0.15,1364.0,9.0,85.0,25.0,156000.0,M
111,dejan lovren,29.0,13.0,11.0,1.0,0.09,0.0,11.0,0.55,0.09,716.0,1.0,29.0,0.0,5200000.0,D
112,dele alli,22.0,25.0,22.0,4.0,0.25,0.15,20.3,1.97,0.89,843.0,28.0,99.0,33.0,5200000.0,M
113,demarai gray,22.0,34.0,23.0,2.0,0.18,0.05,22.1,2.09,0.86,523.0,11.0,46.0,46.0,2860000.0,F
114,denis suarez,24.0,4.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,32.0,0.0,2.0,3.0,NaN,F
115,diego rico,25.0,12.0,5.0,1.0,0.0,0.0,6.8,1.32,0.0,259.0,11.0,67.0,6.0,1001000.0,D
116,diogo dalot,19.0,16.0,12.0,3.0,0.0,0.18,11.3,1.33,0.0,395.0,17.0,69.0,13.0,1300000.0,D
117,diogo jota,21.0,33.0,29.0,11.0,0.34,0.19,26.2,2.18,0.88,597.0,27.0,78.0,65.0,2860000.0,F
